company_id,company_name,sector
C001,SampleCompany_001,Bio
C002,SampleCompany_002,Finance
C003,SampleCompany_003,IT
C004,SampleCompany_004,Retail
C005,SampleCompany_005,Retail
C006,SampleCompany_006,Bio
C007,SampleCompany_007,Retail
C008,SampleCompany_008,Bio
C009,SampleCompany_009,Retail
C010,SampleCompany_010,Manufacturing
C011,SampleCompany_011,Manufacturing
C012,SampleCompany_012,Finance
C013,SampleCompany_013,Bio
C014,SampleCompany_014,Manufacturing
C015,SampleCompany_015,Retail
C016,SampleCompany_016,IT
C017,SampleCompany_017,IT
C018,SampleCompany_018,Finance
C019,SampleCompany_019,Finance
C020,SampleCompany_020,Retail
C021,SampleCompany_021,Bio
C022,SampleCompany_022,IT
C023,SampleCompany_023,Retail
C024,SampleCompany_024,Bio
C025,SampleCompany_025,IT
C026,SampleCompany_026,Retail
C027,SampleCompany_027,Bio
C028,SampleCompany_028,Manufacturing
C029,SampleCompany_029,Bio
C030,SampleCompany_030,IT
C031,SampleCompany_031,IT
C032,SampleCompany_032,Manufacturing
C033,SampleCompany_033,Bio
C034,SampleCompany_034,IT
C035,SampleCompany_035,Retail
C036,SampleCompany_036,IT
C037,SampleCompany_037,Manufacturing
C038,SampleCompany_038,Retail
C039,SampleCompany_039,Manufacturing
C040,SampleCompany_040,Manufacturing
