company_id,quarter,disclosure_risk_score,rnd_ratio,major_event_flag,disclosure_summary_ko
C001,2021Q1,0.62805,0.08328,0,합성 데이터: 특이 공시 없음
C001,2021Q2,0.50483,0.07323,1,합성 데이터: 특이 공시 없음
C001,2021Q3,0.57517,0.12245,0,합성 데이터: 특이 공시 없음
C001,2021Q4,0.66954,0.08769,0,합성 데이터: 공시 위험 신호 높음
C001,2022Q1,0.43145,0.07311,0,합성 데이터: 특이 공시 없음
C001,2022Q2,0.50352,0.09631,0,합성 데이터: 특이 공시 없음
C001,2022Q3,0.5019,0.04612,0,합성 데이터: 특이 공시 없음
C001,2022Q4,0.67692,0.06483,0,합성 데이터: 공시 위험 신호 높음
C001,2023Q1,0.7002,0.05026,0,합성 데이터: 공시 위험 신호 높음
C001,2023Q2,0.51905,0.07849,1,합성 데이터: 특이 공시 없음
C001,2023Q3,0.54794,0.0386,0,합성 데이터: 특이 공시 없음
C001,2023Q4,0.49552,0.0759,0,합성 데이터: 특이 공시 없음
C001,2024Q1,0.51969,0.05745,0,합성 데이터: 특이 공시 없음
C001,2024Q2,0.48369,0.07059,0,합성 데이터: 특이 공시 없음
C001,2024Q3,0.65175,0.08524,0,합성 데이터: 공시 위험 신호 높음
C001,2024Q4,0.45263,0.0852,0,합성 데이터: 특이 공시 없음
C001,2025Q1,0.44811,0.07944,0,합성 데이터: 특이 공시 없음
C001,2025Q2,0.55002,0.06291,0,합성 데이터: 특이 공시 없음
C001,2025Q3,0.63062,0.05493,0,합성 데이터: 특이 공시 없음
C001,2025Q4,0.44675,0.0777,0,합성 데이터: 특이 공시 없음
C002,2021Q1,0.6003,0.00639,0,합성 데이터: 특이 공시 없음
C002,2021Q2,0.59326,0.03902,0,합성 데이터: 특이 공시 없음
C002,2021Q3,0.5554,0.00203,0,합성 데이터: 특이 공시 없음
C002,2021Q4,0.60564,0.04923,1,합성 데이터: 특이 공시 없음
