company_id,quarter,revenue,operating_income,net_income,total_assets,total_debt,total_equity,current_assets,current_liabilities,operating_cash_flow,interest_expense
C001,2021Q1,113286.44,4998.86,1871.38,221867.61,128129.98,93737.63,80218.33,52943.89,736.66,611.19
C001,2021Q2,108594.82,4825.98,1363.2,214455.2,102890.54,111564.66,77890.98,40570.9,110.77,1479.34
C001,2021Q3,108909.53,8676.6,5457.07,149836.11,76729.55,73106.56,46916.59,40075.42,5302.59,910.3
C001,2021Q4,110246.79,3888.37,2282.52,194438.67,108592.86,85845.8,80185.97,20415.07,4733.93,554.23
C001,2022Q1,108164.16,3479.85,1027.21,198001.84,105759.2,92242.64,108713.52,31446.59,5067.84,1134.36
C001,2022Q2,113871.94,6603.13,4818.28,197804.61,118005.99,79798.62,97876.62,37555.8,7565.96,818.6
C001,2022Q3,108855.75,3710.56,1492.68,223291.45,128081.99,95209.45,56974.25,33938.24,3785.13,618.31
C001,2022Q4,107950.27,4125.04,1870.4,251186.14,166702.07,84484.07,89418.53,87048.34,2864.11,2085.38
C001,2023Q1,100897.75,3164.29,1496.4,263346.03,143304.17,120041.86,88504.56,53937.51,2014.3,1234.24
C001,2023Q2,105495.82,10197.97,4854.8,152810.12,105001.56,47808.56,55748.77,24489.79,13100.62,763.45
C001,2023Q3,106862.34,4050.39,1821.72,287193.44,155119.53,132073.91,76418.09,38338.48,7372.57,1794.5
C001,2023Q4,107677.8,4473.49,2691.11,271898.49,159485.76,112412.73,146343.56,36647.33,4467.64,2530.02
C001,2024Q1,111456.55,138.74,-497.15,205647.25,106986.28,98660.98,74000.99,56818.0,4026.85,847.91
C001,2024Q2,112640.65,1093.56,-523.69,160465.03,104894.46,55570.58,45762.29,47046.71,-2875.37,530.88
C001,2024Q3,105480.65,2413.18,1490.73,227882.09,141273.52,86608.57,96260.7,52747.82,3490.84,1466.74
C001,2024Q4,101604.64,5770.96,2400.37,253636.14,152089.41,101546.73,97586.77,45070.6,4589.82,2591.89
C001,2025Q1,100424.84,7215.9,4254.7,140736.74,101763.19,38973.55,68358.27,22908.02,6020.83,324.07
C001,2025Q2,100644.65,2168.89,530.95,169349.16,103468.74,65880.42,49005.45,56873.53,2481.81,450.77
C001,2025Q3,102089.38,4908.78,2531.67,227666.75,115114.52,112552.23,77011.59,56898.95,4426.67,1947.38
C001,2025Q4,99782.25,2582.39,1088.65,240159.7,164908.49,75251.21,114381.13,33008.93,3481.73,2681.77
C002,2021Q1,269021.33,20663.47,14549.41,390712.12,277306.53,113405.59,156086.65,98566.51,13462.62,1988.6
C002,2021Q2,257503.86,9731.25,4747.4,516559.32,404969.21,111590.1,238551.97,157668.93,8669.64,5178.14
C002,2021Q3,279092.9,18393.35,15190.35,581760.14,390271.31,191488.84,213125.94,191167.17,19897.39,1592.65
C002,2021Q4,285932.67,7672.6,5861.72,417788.21,281775.53,136012.68,122946.23,88764.97,23208.99,4108.73
C002,2022Q1,299979.51,24246.37,13388.97,864398.78,569989.49,294409.3,484457.31,311453.09,24161.09,5066.4
C002,2022Q2,315522.1,11062.75,6380.06,693188.42,397861.77,295326.65,194870.98,107485.13,14180.08,5067.66
C002,2022Q3,332135.33,23083.16,18722.08,912122.94,613314.22,298808.72,514985.97,187685.55,17342.9,2805.73
C002,2022Q4,334206.77,23546.13,14487.09,405203.84,297150.89,108052.94,206703.55,123167.51,38064.03,3019.82
C002,2023Q1,365713.71,11422.18,7412.22,1041803.42,671204.99,370598.42,371553.41,303041.53,9178.09,3260.75
C002,2023Q2,365547.24,27651.47,19280.99,1013294.34,773539.03,239755.31,267184.61,245907.95,8589.15,10156.25
C002,2023Q3,389957.96,14650.98,7209.17,916942.69,683931.82,233010.86,365403.09,349752.41,6830.2,10800.46
C002,2023Q4,380084.66,21146.9,12985.08,977818.61,822126.19,155692.41,351676.34,272073.23,18333.13,14768.43
C002,2024Q1,370386.42,20466.28,10603.1,844006.38,667073.78,176932.6,342279.41,356822.72,15344.47,4848.37
C002,2024Q2,379275.85,11600.68,6776.66,555354.91,477922.23,77432.69,254214.31,226071.81,18941.07,4847.98
C002,2024Q3,380272.07,20599.98,14297.96,1076784.74,719305.52,357479.21,285562.52,194963.91,5314.77,7726.29
C002,2024Q4,395964.05,18880.22,13034.62,550595.79,360921.04,189674.75,137900.15,132826.85,4471.83,3417.89
C002,2025Q1,426694.34,26675.09,23184.78,846266.43,630031.39,216235.04,258676.55,124449.08,19625.59,1977.6
C002,2025Q2,412145.78,26119.91,21138.75,608600.81,423167.25,185433.56,344791.76,115980.62,22797.99,5099.74
C002,2025Q3,435568.41,34753.85,19919.96,779237.86,563102.16,216135.7,242522.57,252448.74,51402.76,4368.15
C002,2025Q4,431687.99,28515.77,14259.52,947074.24,680284.75,266789.49,551198.93,344047.7,17041.38,4828.53
C003,2021Q1,362847.23,61328.36,44662.24,1042027.94,482436.13,559591.82,458904.66,89064.39,69739.16,4399.54
C003,2021Q2,383802.28,47861.91,32993.75,1033664.65,500272.54,533392.11,456153.33,227341.39,53858.75,5777.65
C003,2021Q3,383651.41,72887.11,48530.09,1039262.13,509225.95,530036.19,382530.59,206355.78,64303.69,6124.27
C003,2021Q4,394706.25,45674.73,39920.86,540025.9,258467.11,281558.8,311045.92,73120.85,20987.03,2799.25
C003,2022Q1,373471.33,57896.14,36568.87,1004790.38,498032.49,506757.9,617233.07,270668.54,62298.86,2523.48
C003,2022Q2,379080.28,56084.85,46593.52,928640.55,474402.56,454237.99,359721.43,156456.23,59566.55,2894.9
C003,2022Q3,388465.64,63121.92,38970.12,1028373.01,584427.06,443945.94,459080.77,158911.78,43063.56,9993.87
C003,2022Q4,392127.45,57804.82,50235.22,1105975.62,553763.89,552211.74,503367.25,142237.24,49411.62,2649.37
C003,2023Q1,352712.85,52988.19,42094.25,514922.35,263010.11,251912.23,193772.08,52217.89,38429.37,3245.71
C003,2023Q2,334964.45,44498.78,24653.54,475432.15,221150.48,254281.67,230082.84,71958.64,46491.88,3072.38
C003,2023Q3,341469.55,48379.15,26515.69,927851.0,430492.54,497358.46,458542.49,125668.39,70951.67,6060.33
C003,2023Q4,329795.48,40751.0,28400.71,447179.66,233575.02,213604.64,220254.57,99333.99,14832.19,1393.78
C003,2024Q1,333915.32,46119.28,39656.09,708412.82,251945.11,456467.71,426876.33,102219.77,33570.41,1967.03
C003,2024Q2,324777.08,48322.05,40437.0,690389.12,361790.47,328598.65,334089.6,109847.24,31345.06,6099.11
C003,2024Q3,339944.76,47148.57,30219.36,746564.36,353052.82,393511.54,247095.59,170150.53,49952.98,1098.91
C003,2024Q4,320790.82,39028.25,22834.46,722881.74,323077.1,399804.64,443056.98,66478.62,28011.05,2280.76
C003,2025Q1,322219.24,51738.87,38687.56,934119.13,446602.17,487516.96,266432.88,200659.26,71832.09,4429.46
C003,2025Q2,339719.18,56395.74,44496.17,691375.29,323355.03,368020.26,209656.94,163376.89,32356.6,3559.36
C003,2025Q3,364952.66,55045.17,31713.09,948625.77,442382.23,506243.53,524688.66,94811.25,54879.28,3035.53
C003,2025Q4,370383.16,62480.04,35879.85,554866.97,301812.25,253054.72,220530.46,164923.41,36205.82,2936.92
C004,2021Q1,174036.81,21508.36,11199.58,352690.2,167010.26,185679.95,142805.23,76896.0,21622.7,1466.44
C004,2021Q2,172806.4,22494.06,17101.99,468901.32,268423.49,200477.82,199824.15,141231.16,19991.84,3163.79
C004,2021Q3,179970.12,22931.27,14542.55,232874.08,143786.52,89087.55,81035.21,58360.0,15239.77,2436.46
C004,2021Q4,196668.64,29741.06,26566.1,370159.96,194063.07,176096.9,222465.71,76351.89,30979.87,3430.94
C004,2022Q1,216874.66,36728.72,27138.67,410920.64,223227.56,187693.09,198994.57,116726.73,43438.5,1772.19
C004,2022Q2,226849.48,40271.37,23305.23,422272.24,223083.02,199189.22,193480.41,102517.72,25612.8,3772.91
C004,2022Q3,237137.96,30337.22,22966.17,295261.69,163032.4,132229.29,166909.59,59290.72,26863.11,2412.84
C004,2022Q4,229058.36,32295.57,27129.72,608056.39,249970.39,358086.0,285714.08,126213.69,14563.61,3790.66
C004,2023Q1,227782.56,33532.1,27747.7,390978.34,230958.26,160020.08,101212.18,86047.95,34749.38,1258.92
C004,2023Q2,233884.21,33059.63,21919.6,657318.4,326523.56,330794.83,361077.32,176497.2,23128.55,5247.6
C004,2023Q3,242956.26,26261.81,15763.23,310181.06,159520.42,150660.64,173659.84,35649.09,24839.05,851.26
C004,2023Q4,256362.96,28919.57,17254.53,348727.02,193642.31,155084.71,178514.15,94324.55,37737.34,3321.11
C004,2024Q1,236912.67,26893.7,17785.69,441975.19,245504.28,196470.91,123156.98,115031.48,20005.43,2991.06
C004,2024Q2,231341.82,33514.32,18678.62,302516.07,134833.28,167682.79,139269.56,69790.52,30995.35,812.78
C004,2024Q3,246077.76,35353.42,22869.31,521392.12,262769.68,258622.43,192222.48,110804.98,40153.21,1689.53
C004,2024Q4,253498.75,30335.52,26417.5,510168.55,224814.8,285353.75,140156.33,89789.67,20795.19,845.87
C004,2025Q1,259581.65,42198.19,31246.58,589980.1,346710.28,243269.82,292120.36,148595.19,47151.13,3250.83
C004,2025Q2,280798.99,38604.56,29887.29,467080.21,283193.15,183887.06,281993.73,67155.44,29101.17,3098.38
C004,2025Q3,295459.7,38119.69,21738.58,708674.26,325514.2,383160.06,303323.6,152802.27,45132.25,3165.17
C004,2025Q4,309209.25,56704.47,36305.35,601720.24,321488.04,280232.2,232643.67,85939.86,57058.56,3365.65
C005,2021Q1,87323.9,12002.34,9852.76,138216.44,67939.2,70277.24,77912.56,37236.45,13479.52,524.17
C005,2021Q2,87727.53,7996.23,3036.16,165357.21,60195.63,105161.58,83024.52,15109.76,6799.69,419.6
C005,2021Q3,87761.46,12376.05,8200.77,221057.49,103251.37,117806.13,86207.49,50489.56,8704.39,1194.36
C005,2021Q4,82544.82,6778.1,3782.69,156594.37,56906.73,99687.63,89082.05,23766.15,7627.68,522.27
C005,2022Q1,78280.52,9672.68,6356.09,199873.86,86650.84,113223.02,109332.32,24126.32,7109.44,435.47
C005,2022Q2,78174.64,11254.43,5544.73,206904.43,63298.45,143605.98,69154.63,12577.3,11116.32,777.54
C005,2022Q3,77164.59,7446.37,5009.9,130358.25,63287.94,67070.32,44085.24,23167.42,8534.18,564.94
C005,2022Q4,77451.86,6710.44,3909.3,222528.1,84689.87,137838.23,108180.41,30094.98,7246.78,777.93
C005,2023Q1,75705.03,6420.93,3806.48,197613.76,84925.05,112688.71,65500.74,37656.58,7924.3,325.11
C005,2023Q2,70589.48,7190.87,3601.48,178221.43,104984.02,73237.4,59771.21,19952.99,8083.18,1315.81
C005,2023Q3,67532.33,4269.41,2901.25,192668.98,87507.27,105161.71,113887.03,26505.98,1045.97,380.66
C005,2023Q4,65996.09,7071.34,5014.89,137774.28,49608.39,88165.9,57250.08,15281.55,5953.89,741.57
C005,2024Q1,62957.47,7059.99,4218.3,149280.51,61123.19,88157.32,53615.16,23866.68,6107.1,753.52
C005,2024Q2,59097.48,6165.61,3144.65,115218.6,70878.2,44340.4,38910.82,34518.21,5831.83,715.04
C005,2024Q3,59502.47,6673.21,3312.56,121323.24,63010.65,58312.59,73523.58,21846.63,5723.74,279.0
C005,2024Q4,57302.78,6051.37,4066.1,131260.86,55393.37,75867.49,69708.43,14698.7,7164.5,794.42
C005,2025Q1,57919.21,7985.2,4805.56,154178.03,75970.13,78207.9,50173.91,28531.38,9827.63,729.1
C005,2025Q2,58630.97,7358.49,4974.41,145029.34,56930.86,88098.48,54001.75,12927.5,3263.37,551.9
C005,2025Q3,57760.51,8131.69,3656.19,71445.7,36381.1,35064.6,21969.33,14713.59,5750.72,148.32
C005,2025Q4,59391.62,7019.82,4642.59,167505.28,56430.02,111075.27,60486.26,20121.6,3696.74,208.2
C006,2021Q1,321938.4,12870.92,7303.9,612868.18,250059.56,362808.62,340162.53,130657.14,12775.25,817.17
C006,2021Q2,340397.11,20770.32,16580.57,764209.36,304193.94,460015.42,352744.93,72040.58,14733.26,4242.51
C006,2021Q3,363905.83,7108.09,3549.76,890859.23,315370.87,575488.37,506041.56,100897.92,3218.05,3872.73
C006,2021Q4,369067.94,14418.7,9098.28,621771.74,204208.22,417563.51,350000.77,76052.58,23138.79,3531.71
