quarter,macro_rate,fx_rate,inflation,business_cycle_index
2021Q1,2.0152,1107.5202,2.26,100.6584
2021Q2,2.0224,1115.3738,2.3271,101.3363
2021Q3,2.2392,1131.7635,2.4856,103.4139
2021Q4,2.3633,1166.5269,2.517,103.1267
2022Q1,2.4984,1152.4934,2.5701,103.9633
2022Q2,2.5908,1166.8288,2.5706,103.529
2022Q3,2.6986,1181.7744,2.4452,102.9577
2022Q4,2.8606,1202.1699,2.4718,101.0555
2023Q1,2.9344,1198.2347,2.2318,100.5568
2023Q2,3.0743,1208.9181,2.0013,98.6853
2023Q3,3.2372,1236.5179,1.9197,97.1353
2023Q4,3.3258,1243.6243,1.9842,96.3501
2024Q1,3.4739,1252.8109,1.9243,96.4572
2024Q2,3.4871,1259.1639,1.8973,96.019
2024Q3,3.6662,1291.9393,1.9414,98.1527
2024Q4,3.7159,1280.9814,2.1292,99.2927
2025Q1,3.9556,1305.5202,2.2071,100.1426
2025Q2,4.0829,1304.7043,2.2462,101.1832
2025Q3,4.114,1323.9659,2.4495,103.658
2025Q4,4.2586,1330.9025,2.5404,103.6551
