company_id,quarter,market_cap,stock_return_3m,volatility_3m,volume_change_3m
C001,2021Q1,218898.54,0.00752,0.27442,-0.0201
C001,2021Q2,214548.55,-0.01638,0.30687,0.41549
C001,2021Q3,54008.68,-0.21312,0.27056,0.13207
C001,2021Q4,140946.91,-0.25772,0.28909,0.05126
C001,2022Q1,104708.37,-0.13276,0.32172,-0.037
C001,2022Q2,182944.91,-0.19955,0.36389,0.4423
C001,2022Q3,148599.19,-0.16143,0.26345,-0.1301
C001,2022Q4,74348.15,-0.03105,0.3141,0.61694
C001,2023Q1,170939.55,-0.06955,0.24459,-0.25966
C001,2023Q2,45950.85,-0.18446,0.29777,0.00449
C001,2023Q3,185913.32,-0.13789,0.26718,0.32515
C001,2023Q4,167130.63,-0.06891,0.31229,0.12821
C001,2024Q1,158867.77,0.17595,0.32147,0.24525
C001,2024Q2,129484.8,-0.11922,0.359,0.20335
C001,2024Q3,148906.88,-0.1376,0.32679,-0.28486
C001,2024Q4,146677.84,-0.05638,0.35796,-0.1005
C001,2025Q1,57382.34,-0.23662,0.2623,-0.28919
C001,2025Q2,146581.09,0.0207,0.28145,0.02358
C001,2025Q3,226520.85,0.10777,0.35258,0.04788
C001,2025Q4,143450.11,0.06946,0.28493,-0.05436
C002,2021Q1,138127.77,-0.15246,0.35417,0.04938
C002,2021Q2,138099.9,-0.10742,0.37975,-0.19616
C002,2021Q3,408137.09,0.02231,0.3325,0.15494
C002,2021Q4,167109.88,0.00568,0.28788,-0.01034
C002,2022Q1,246150.84,-0.00847,0.35155,0.39931
C002,2022Q2,543207.76,-0.06632,0.34964,-0.16681
C002,2022Q3,411620.75,0.0135,0.34431,-0.11335
C002,2022Q4,215504.61,0.00844,0.25817,-0.19933
C002,2023Q1,285216.19,-0.09392,0.3243,0.23384
C002,2023Q2,458541.36,0.02021,0.31429,-0.22711
C002,2023Q3,300969.28,0.28991,0.32833,-0.37104
C002,2023Q4,294491.85,-0.27678,0.34827,-0.03083
C002,2024Q1,393656.38,-0.27373,0.28597,0.16112
C002,2024Q2,185141.01,-0.12097,0.32728,-0.05034
C002,2024Q3,440188.79,-0.07872,0.30644,0.04254
C002,2024Q4,384468.43,-0.17495,0.33915,0.30323
C002,2025Q1,220591.61,0.0768,0.28582,-0.43933
C002,2025Q2,440201.52,0.09762,0.31029,0.24317
C002,2025Q3,478315.44,0.15109,0.34294,0.09968
C002,2025Q4,209665.45,-0.20636,0.36041,0.14115
C003,2021Q1,481205.5,0.07154,0.26008,0.11351
C003,2021Q2,468235.95,-0.02992,0.24779,-0.13695
C003,2021Q3,1213861.49,-0.02647,0.30595,0.06665
C003,2021Q4,421298.76,0.00357,0.28391,-0.16193
C003,2022Q1,617024.92,-0.04529,0.18659,-0.31507
C003,2022Q2,1045027.22,0.28921,0.26626,-0.22114
C003,2022Q3,980934.53,-0.04443,0.26833,0.47389
C003,2022Q4,1247248.79,0.13524,0.29132,0.32388
C003,2023Q1,497885.79,0.05233,0.33074,0.08863
C003,2023Q2,377320.7,-0.0521,0.22456,0.15745
C003,2023Q3,689009.74,0.06528,0.30098,0.08647
C003,2023Q4,432091.73,-0.21461,0.23757,-0.16482
C003,2024Q1,1076998.25,0.0428,0.25663,0.16654
C003,2024Q2,701114.15,0.07014,0.23068,0.01491
C003,2024Q3,500318.81,0.08269,0.32472,0.04279
C003,2024Q4,881266.74,-0.05782,0.22521,-0.27979
C003,2025Q1,693308.0,0.10272,0.29233,-0.18161
C003,2025Q2,299856.07,0.09589,0.27425,-0.10515
C003,2025Q3,1001835.27,0.02297,0.27428,0.43794
C003,2025Q4,346168.97,0.03085,0.3257,-0.47938
C004,2021Q1,215423.0,0.08173,0.23783,0.26946
C004,2021Q2,206958.68,-0.11134,0.33602,-0.15139
C004,2021Q3,77480.59,-0.16157,0.22068,-0.41353
C004,2021Q4,272542.92,0.0498,0.29549,-0.09293
C004,2022Q1,275304.29,0.24589,0.25616,0.14786
C004,2022Q2,341723.18,0.11819,0.33784,0.40028
C004,2022Q3,166902.1,0.01556,0.35417,0.26275
C004,2022Q4,543931.93,-0.02407,0.19722,-0.13778
C004,2023Q1,293822.83,0.01418,0.22935,0.13176
C004,2023Q2,588218.89,-0.08281,0.29902,0.17801
C004,2023Q3,242462.21,-0.05758,0.26969,0.02556
C004,2023Q4,142025.02,0.06113,0.30351,0.12042
C004,2024Q1,149278.43,0.04794,0.21856,0.49114
C004,2024Q2,345592.91,0.3023,0.22917,0.35883
C004,2024Q3,498427.89,0.12625,0.27457,-0.12295
C004,2024Q4,675819.86,0.20896,0.27332,-0.04908
C004,2025Q1,506149.38,0.03513,0.23902,-0.21783
C004,2025Q2,404699.27,0.07305,0.31127,-0.09666
C004,2025Q3,802700.04,-0.06075,0.33043,0.15409
C004,2025Q4,502483.61,-0.20771,0.23967,-0.5235
C005,2021Q1,97181.11,0.00293,0.31149,0.0083
C005,2021Q2,236885.38,0.01547,0.23517,-0.19193
C005,2021Q3,281548.66,0.06382,0.30539,0.0267
C005,2021Q4,138137.4,0.01142,0.31898,-0.1745
C005,2022Q1,260917.6,0.06979,0.36575,-0.33057
C005,2022Q2,286055.04,0.01764,0.27366,0.29896
C005,2022Q3,136670.21,-0.06968,0.3083,0.17835
C005,2022Q4,301647.43,0.03173,0.2393,0.04072
C005,2023Q1,145601.59,-0.08098,0.27243,0.02926
